ID_Raum;Klausurplaetze_eng;ID_Campus;Details
2907.06.605;76;SP;nur für Sportfakultät
2940.EG.001M;50;SP;nur für Sportfakultät
2941.EG.006L;15;SP;nur für Sportfakultät
2941.EG.010L;15;SP;nur für Sportfakultät
2941.EG.020R;25;SP;nur für Sportfakultät
2941.EG.022L;20;SP;nur für Sportfakultät
4101.01.129;36;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt
4102.01.038;31;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt
4102.01.040;24;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt
4102.EG.034;32;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt
4214.EG.010;62;WZ;am WZW wird von zentraler Koordination für Prüfungen am WZW genutzt
4214.EG.020;87;WZ;am WZW wird von zentraler Koordination für Prüfungen am WZW genutzt
4214.EG.030;162;WZ;am WZW wird von zentraler Koordination für Prüfungen am WZW genutzt
4214.U1.034;30;WZ;am WZW wird ggf. von zentraler Koordination für Prüfungen am WZW genutzt
4215.U1.058;43;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt
4217.EG.041;37;-;am WZW wird ggf. von zentraler Koordination für Prüfungen am WZW genutzt
4277.EG.127;24;-;am WZW wird ggf. von zentraler Koordination für Prüfungen am WZW genutzt
4277.EG.128;23;-;am WZW wird ggf. von zentraler Koordination für Prüfungen am WZW genutzt
4277.EG.129;26;-;am WZW wird ggf. von zentraler Koordination für Prüfungen der Studienfakultät Forst genutzt
4277.EG.130;37;-;am WZW wird ggf. von zentraler Koordination für Prüfungen der Studienfakultät Forst genutzt
4317.EG.003;37;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt
4318.EG.008;16;-;am WZW wird normalerweise nicht von zentraler Koordination genutzt